time	V(n002)	V(n003)
0.000000000000000e+000	0.000000e+000	9.994888e-004
5.521566865371934e-008	8.673260e-005	1.010280e-003
1.104313373074387e-007	1.734652e-004	1.031441e-003
1.656470059611580e-007	2.601977e-004	1.062973e-003
2.208626746148774e-007	3.469302e-004	1.104874e-003
2.760783432685967e-007	4.336626e-004	1.157146e-003
3.312940119223161e-007	5.203950e-004	1.219787e-003
3.865096805760352e-007	6.071274e-004	1.292799e-003
6.922392914880382e-007	1.087367e-003	1.638430e-003
9.979689024000410e-007	1.567598e-003	1.988314e-003
1.303698513312044e-006	2.047821e-003	2.342452e-003
1.609428124224047e-006	2.528036e-003	2.700843e-003
1.915157735136050e-006	3.008243e-003	3.063488e-003
2.220887346048053e-006	3.488443e-003	3.430386e-003
2.526616956960055e-006	3.968634e-003	3.801538e-003
4.344329811646402e-006	6.823210e-003	6.132090e-003
6.348338349021182e-006	9.969302e-003	8.972823e-003
8.540163586526140e-006	1.340842e-002	1.246017e-002
1.081500543951741e-005	1.697510e-002	1.638274e-002
1.201341478954644e-005	1.885271e-002	1.850164e-002
1.338165898805442e-005	2.099510e-002	2.088616e-002
1.491808609591340e-005	2.339898e-002	2.347743e-002
1.867095759576282e-005	2.926105e-002	2.957559e-002
2.474203015369449e-005	3.870834e-002	3.914860e-002
3.255453015369449e-005	5.078070e-002	5.130445e-002
4.427328015369450e-005	6.865085e-002	6.924510e-002
5.599203015369451e-005	8.636663e-002	8.699649e-002
6.771078015369452e-005	1.033947e-001	1.040565e-001
7.942953015369455e-005	1.197351e-001	1.204252e-001
9.114828015369456e-005	1.353878e-001	1.361026e-001
1.028670301536946e-004	1.503528e-001	1.510885e-001
1.145857801536946e-004	1.646301e-001	1.653832e-001
1.263045301536946e-004	1.782197e-001	1.789864e-001
1.463938158679803e-004	1.993475e-001	2.001444e-001
1.664831015822660e-004	2.167834e-001	2.176115e-001
1.865723872965518e-004	2.305277e-001	2.313877e-001
2.066616730108375e-004	2.405801e-001	2.414730e-001
2.267509587251232e-004	2.469408e-001	2.478675e-001
2.468402444394089e-004	2.496098e-001	2.505711e-001
2.669295301536947e-004	2.485870e-001	2.495838e-001
2.842286372965518e-004	2.439037e-001	2.449311e-001
3.015277444394090e-004	2.366458e-001	2.377037e-001
3.188268515822662e-004	2.268132e-001	2.279017e-001
3.361259587251233e-004	2.144059e-001	2.155249e-001
3.534250658679805e-004	1.994240e-001	2.005736e-001
3.707241730108377e-004	1.818674e-001	1.830475e-001
3.880232801536948e-004	1.617361e-001	1.629468e-001
3.986259587251234e-004	1.485254e-001	1.497514e-001
4.092286372965519e-004	1.348144e-001	1.360601e-001
4.198313158679805e-004	1.206032e-001	1.218728e-001
4.304339944394091e-004	1.058916e-001	1.071897e-001
4.410366730108377e-004	9.067980e-002	9.201053e-002
4.516393515822663e-004	7.496768e-002	7.633547e-002
4.622420301536948e-004	5.875529e-002	6.016447e-002
4.739607801536948e-004	4.072008e-002	4.221530e-002
4.817732801536949e-004	2.856792e-002	3.016427e-002
4.856795301536949e-004	2.246420e-002	2.413918e-002
4.895857801536949e-004	1.634695e-002	1.813662e-002
4.934920301536949e-004	1.021985e-002	1.218684e-002
4.973982801536949e-004	4.086590e-003	6.345594e-003
5.013045301536949e-004	-2.049128e-003	7.224956e-004
5.052107801536949e-004	-8.183612e-003	-4.544245e-003
5.082460840338006e-004	-1.294712e-002	-8.261959e-003
5.112791804404767e-004	-1.770247e-002	-1.158877e-002
5.142505965358942e-004	-2.235489e-002	-1.451632e-002
5.181568465358942e-004	-2.845888e-002	-1.796613e-002
5.220630965358942e-004	-3.454573e-002	-2.101662e-002
5.259693465358942e-004	-4.061178e-002	-2.365389e-002
5.298755965358942e-004	-4.665336e-002	-2.588383e-002
5.337818465358942e-004	-5.266684e-002	-2.771937e-002
5.376880965358942e-004	-5.864860e-002	-2.917838e-002
5.415943465358942e-004	-6.459503e-002	-3.028651e-002
5.455005965358942e-004	-7.050254e-002	-3.106873e-002
5.494068465358942e-004	-7.636759e-002	-3.154586e-002
5.533130965358942e-004	-8.218664e-002	-3.175506e-002
5.572193465358942e-004	-8.795618e-002	-3.174311e-002
5.611255965358942e-004	-9.367274e-002	-3.155312e-002
5.689380965358943e-004	-1.049332e-001	-3.080611e-002
5.767505965358943e-004	-1.159408e-001	-2.980342e-002
5.806568465358943e-004	-1.213415e-001	-2.626303e-002
5.836221337427744e-004	-1.253927e-001	-1.652916e-002
5.837547852817766e-004	-1.255729e-001	-1.414813e-002
5.840200883597810e-004	-1.259331e-001	-7.537128e-003
5.843150901164254e-004	-1.263331e-001	-4.523285e-003
5.846198939402001e-004	-1.267461e-001	-4.447644e-003
5.849734161630622e-004	-1.272244e-001	-4.563679e-003
5.853462949459824e-004	-1.277283e-001	-4.515353e-003
5.859158315921999e-004	-1.284965e-001	-4.566021e-003
5.867681664855123e-004	-1.296431e-001	-4.575596e-003
6.019189968152078e-004	-1.497332e-001	-4.975464e-003
6.170698271449032e-004	-1.680978e-001	-5.340284e-003
6.322206574745987e-004	-1.847371e-001	-5.670054e-003
6.473714878042941e-004	-1.996510e-001	-5.964776e-003
6.625223181339896e-004	-2.128395e-001	-6.224448e-003
6.776731484636850e-004	-2.243027e-001	-6.449072e-003
6.928239787933804e-004	-2.340404e-001	-6.638647e-003
7.168195145076661e-004	-2.443763e-001	-6.841839e-003
7.408150502219518e-004	-2.492569e-001	-6.937958e-003
7.648105859362377e-004	-2.486824e-001	-6.927006e-003
7.888061216505234e-004	-2.426527e-001	-6.808982e-003
8.128016573648091e-004	-2.311677e-001	-6.583886e-003
8.367971930790948e-004	-2.142276e-001	-6.251718e-003
8.607927287933806e-004	-1.918322e-001	-5.812478e-003
8.730695145076663e-004	-1.786788e-001	-5.560570e-003
8.853463002219520e-004	-1.646856e-001	-5.286196e-003
8.976230859362378e-004	-1.498526e-001	-4.989355e-003
9.098998716505235e-004	-1.341798e-001	-4.670047e-003
9.221766573648092e-004	-1.176671e-001	-4.328273e-003
9.344534430790949e-004	-1.003146e-001	-3.964032e-003
9.467302287933806e-004	-8.212236e-002	-3.577324e-003
9.517525502219520e-004	-7.461239e-002	-3.410145e-003
9.567748716505234e-004	-6.704711e-002	-3.227315e-003
9.617971930790948e-004	-5.942654e-002	-3.028834e-003
9.668195145076663e-004	-5.175067e-002	-2.814702e-003
9.718418359362378e-004	-4.401950e-002	-2.584919e-003
9.768641573648092e-004	-3.623303e-002	-2.339485e-003
9.818864787933806e-004	-2.839127e-002	-2.078400e-003
9.857927287933806e-004	-2.228710e-002	-1.845631e-003
9.896989787933806e-004	-1.616951e-002	-1.577376e-003
9.936052287933806e-004	-1.004218e-002	-1.224468e-003
9.975114787933806e-004	-3.908801e-003	-6.343847e-004
1.000736612359684e-003	1.157064e-003	2.949653e-004
1.003999811079679e-003	6.282227e-003	1.760579e-003
1.007561676601495e-003	1.187339e-002	3.661625e-003
1.011330682375296e-003	1.778316e-002	5.729009e-003
1.015236932375296e-003	2.389757e-002	7.862899e-003
1.019143182375296e-003	2.999759e-002	9.985216e-003
1.023049432375296e-003	3.607953e-002	1.209722e-002
1.026955682375296e-003	4.213975e-002	1.420468e-002
1.030861932375296e-003	4.817457e-002	1.631812e-002
1.034768182375296e-003	5.418038e-002	1.845413e-002
1.038674432375296e-003	6.015356e-002	2.063706e-002
1.042580682375296e-003	6.609049e-002	2.290192e-002
1.046486932375296e-003	7.198763e-002	2.529849e-002
1.050393182375296e-003	7.784139e-002	2.789889e-002
1.054299432375296e-003	8.364827e-002	3.081040e-002
1.058205682375296e-003	8.940476e-002	3.420100e-002
1.062111932375296e-003	9.510740e-002	3.835132e-002
1.066018182375296e-003	1.007527e-001	4.377541e-002
1.069924432375296e-003	1.063374e-001	5.151491e-002
1.073830682375296e-003	1.118580e-001	6.324410e-002
1.076022145058535e-003	1.149259e-001	7.271466e-002
1.076078169453304e-003	1.150040e-001	7.303097e-002
1.076190218242842e-003	1.151603e-001	7.375227e-002
1.076414315821919e-003	1.154726e-001	7.534930e-002
1.076862510980073e-003	1.160965e-001	7.945201e-002
1.077220551144540e-003	1.165943e-001	8.468470e-002
1.077545019379884e-003	1.170449e-001	9.236582e-002
1.077974096834995e-003	1.176401e-001	1.052775e-001
1.078144505701733e-003	1.178762e-001	1.101640e-001
1.078261728061525e-003	1.180386e-001	1.127219e-001
1.078437872616251e-003	1.182824e-001	1.154259e-001
1.078713234431549e-003	1.186633e-001	1.179687e-001
1.078982840912811e-003	1.190358e-001	1.189129e-001
1.079252447394074e-003	1.194081e-001	1.197332e-001
1.079522053875336e-003	1.197800e-001	1.204293e-001
1.079791660356599e-003	1.201515e-001	1.210015e-001
1.080061266837861e-003	1.205227e-001	1.214496e-001
1.080330873319123e-003	1.208936e-001	1.217736e-001
1.080600479800386e-003	1.212641e-001	1.219736e-001
1.094973272377826e-003	1.408102e-001	1.415358e-001
1.109346064955265e-003	1.588764e-001	1.596196e-001
1.123718857532705e-003	1.754627e-001	1.762248e-001
1.138091650110145e-003	1.905692e-001	1.913516e-001
1.152464442687585e-003	2.041958e-001	2.049998e-001
1.166837235265025e-003	2.163426e-001	2.171695e-001
1.181210027842465e-003	2.270095e-001	2.278607e-001
1.206879670699608e-003	2.407283e-001	2.416226e-001
1.232549313556751e-003	2.481940e-001	2.491318e-001
1.258218956413894e-003	2.494067e-001	2.503885e-001
1.283888599271037e-003	2.443662e-001	2.453925e-001
1.309558242128180e-003	2.330728e-001	2.341440e-001
1.335227884985323e-003	2.155262e-001	2.166428e-001
1.360897527842465e-003	1.917266e-001	1.928891e-001
1.373174313556751e-003	1.785637e-001	1.797455e-001
1.385451099271037e-003	1.645617e-001	1.657650e-001
1.397727884985323e-003	1.497208e-001	1.509478e-001
1.410004670699608e-003	1.340408e-001	1.352937e-001
1.422281456413894e-003	1.175219e-001	1.188027e-001
1.434558242128180e-003	1.001639e-001	1.014750e-001
1.446835027842465e-003	8.196686e-002	8.331040e-002
1.451857349271037e-003	7.445525e-002	7.581021e-002
1.456879670699608e-003	6.688851e-002	6.826330e-002
1.461901992128180e-003	5.926662e-002	6.066966e-002
1.466924313556751e-003	5.158960e-002	5.302929e-002
1.471946634985323e-003	4.385744e-002	4.534219e-002
1.476968956413894e-003	3.607014e-002	3.760835e-002
1.481991277842465e-003	2.822771e-002	2.982779e-002
1.485897527842465e-003	2.212314e-002	2.380336e-002
1.489803777842465e-003	1.600523e-002	1.780275e-002
1.493710027842465e-003	9.877693e-003	1.185728e-002
1.497616277842465e-003	3.744202e-003	6.024762e-003
1.501522527842465e-003	-2.391545e-003	4.183912e-004
1.505428777842465e-003	-8.525851e-003	-4.822020e-003
1.508449290313245e-003	-1.326588e-002	-8.496241e-003
1.511493781857490e-003	-1.803870e-002	-1.181023e-002
1.514487914900523e-003	-2.272615e-002	-1.473879e-002
1.518394164900523e-003	-2.882921e-002	-1.816322e-002
1.522300414900523e-003	-3.491490e-002	-2.118855e-002
1.526206664900523e-003	-4.097956e-002	-2.380081e-002
1.530112914900523e-003	-4.701954e-002	-2.600637e-002
1.534019164900523e-003	-5.303120e-002	-2.781849e-002
1.537925414900523e-003	-5.901091e-002	-2.925528e-002
1.541831664900523e-003	-6.495507e-002	-3.034255e-002
1.545737914900523e-003	-7.086011e-002	-3.110554e-002
1.549644164900523e-003	-7.672247e-002	-3.156557e-002
1.553550414900523e-003	-8.253861e-002	-3.176013e-002
1.557456664900523e-003	-8.830503e-002	-3.173614e-002
1.561362914900523e-003	-9.401827e-002	-3.153674e-002
1.569175414900523e-003	-1.052714e-001	-3.077812e-002
1.576987914900523e-003	-1.162710e-001	-2.977124e-002
1.580894164900523e-003	-1.216673e-001	-2.576178e-002
1.583670443806173e-003	-1.254583e-001	-1.522906e-002
1.583815819579635e-003	-1.256558e-001	-1.284363e-002
1.584106571126560e-003	-1.260504e-001	-6.958230e-003
1.584485855993489e-003	-1.265645e-001	-4.413640e-003
1.584850721423350e-003	-1.270585e-001	-4.506832e-003
1.585287103340623e-003	-1.276483e-001	-4.566484e-003
1.585794136806889e-003	-1.283325e-001	-4.534778e-003
1.586431886325646e-003	-1.291912e-001	-4.584223e-003
1.587363037109251e-003	-1.304412e-001	-4.589757e-003
1.602386137232105e-003	-1.503114e-001	-4.986004e-003
1.617409237354959e-003	-1.684837e-001	-5.347579e-003
1.632432337477813e-003	-1.849579e-001	-5.674482e-003
1.647455437600667e-003	-1.997341e-001	-5.966715e-003
1.662478537723521e-003	-2.128124e-001	-6.224276e-003
1.677501637846375e-003	-2.241926e-001	-6.447166e-003
1.692524737969229e-003	-2.338747e-001	-6.635384e-003
1.716520273683515e-003	-2.442825e-001	-6.839988e-003
1.740515809397801e-003	-2.492333e-001	-6.937486e-003
1.764511345112086e-003	-2.487272e-001	-6.927878e-003
1.788506880826372e-003	-2.427641e-001	-6.811165e-003
1.812502416540658e-003	-2.313441e-001	-6.587347e-003
1.836497952254944e-003	-2.144672e-001	-6.256423e-003
1.860493487969229e-003	-1.921333e-001	-5.818393e-003
1.872770273683515e-003	-1.790071e-001	-5.566922e-003
1.885047059397801e-003	-1.650389e-001	-5.293038e-003
1.897323845112087e-003	-1.502285e-001	-4.996740e-003
1.909600630826372e-003	-1.345761e-001	-4.678028e-003
1.921877416540658e-003	-1.180816e-001	-4.336902e-003
1.934154202254944e-003	-1.007449e-001	-3.973362e-003
1.946430987969229e-003	-8.256618e-002	-3.587408e-003
1.951453309397801e-003	-7.506087e-002	-3.420661e-003
1.956475630826372e-003	-6.749982e-002	-3.238441e-003
1.961497952254944e-003	-5.988300e-002	-3.040749e-003
1.966520273683515e-003	-5.221044e-002	-2.827584e-003
1.971542595112087e-003	-4.448212e-002	-2.598948e-003
1.976564916540658e-003	-3.669805e-002	-2.354840e-003
1.981587237969229e-003	-2.885822e-002	-2.095259e-003
1.985493487969229e-003	-2.275524e-002	-1.864439e-003
1.989399737969229e-003	-1.663855e-002	-1.599869e-003
1.993305987969229e-003	-1.051183e-002	-1.257256e-003
1.997212237969229e-003	-4.378783e-003	-6.930640e-004
2.000539866332197e-003	8.480184e-004	2.313565e-004
2.003907608730785e-003	6.137441e-003	1.715943e-003
2.007276984314005e-003	1.142668e-002	3.505166e-003
2.011183234314005e-003	1.755213e-002	5.647894e-003
2.015089484314005e-003	2.366701e-002	7.782480e-003
2.018995734314005e-003	2.976764e-002	9.905323e-003
