X--Trace 1::[V(3) | V(Vi)],Y--Trace 1::[V(3) | V(Vi)],,X--Trace 2::[V(8) | V(Vo)],Y--Trace 2::[V(8) | V(Vo)],,X--Trace 3::[V(1) | V(Vsig)],Y--Trace 3::[V(1) | V(Vsig)],,X--Trace 4::[I(Q1:B) | I(Ib)],Y--Trace 4::[I(Q1:B) | I(Ib)],,X--Trace 5::[I(Q1:C) | I(Ic)],Y--Trace 5::[I(Q1:C) | I(Ic)],,X--Trace 6::[-I(Q1:E) | I(Ie)],Y--Trace 6::[-I(Q1:E) | I(Ie)],,X--Trace 7::[V(6) | V(Vc)],Y--Trace 7::[V(6) | V(Vc)],,X--Trace 8::[V(5) | V(Ve)],Y--Trace 8::[V(5) | V(Ve)]
0.10500875,-0.070584546,,0.10500875,-0.173111672,,0.10500875,0.000549502,,0.10500875,7.35873E-06,,0.10500875,0.001025708,,0.10500875,0.001033067,,0.10500875,4.157029061,,0.10500875,-0.73557878
0.10504,-0.06868046,,0.10504,-0.535417205,,0.10504,0.002486899,,0.10504,7.82621E-06,,0.10504,0.001095639,,0.10504,0.001103466,,0.10504,3.794699973,,0.10504,-0.735532993
0.10507125,-0.066871386,,0.10507125,-0.889928671,,0.10507125,0.004328726,,0.10507125,8.28344E-06,,0.10507125,0.001164077,,0.10507125,0.00117236,,0.10507125,3.440141122,,0.10507125,-0.735440907
0.1051025,-0.065226521,,0.1051025,-1.217757515,,0.1051025,0.006004202,,0.1051025,8.70619E-06,,0.1051025,0.001227373,,0.1051025,0.001236079,,0.1051025,3.112242209,,0.1051025,-0.73530475
0.10513375,-0.063808612,,0.10513375,-1.499586583,,0.10513375,0.007448941,,0.10513375,9.06876E-06,,0.10513375,0.001281796,,0.10513375,0.001290865,,0.10513375,2.830322803,,0.10513375,-0.735129217
0.105165,-0.062671678,,0.105165,-1.717551493,,0.105165,0.00860742,,0.105165,9.3478E-06,,0.105165,0.001323895,,0.105165,0.001333243,,0.105165,2.612250941,,0.105165,-0.734921405
0.10519625,-0.06185897,,0.10519625,-1.857222042,,0.10519625,0.009435122,,0.10519625,9.52388E-06,,0.10519625,0.001350881,,0.10519625,0.001360405,,0.10519625,2.472461549,,0.10519625,-0.734690499
0.1052275,-0.061401452,,0.1052275,-1.909239661,,0.1052275,0.009900237,,0.1052275,9.58507E-06,,0.1052275,0.001360943,,0.1052275,0.001370528,,0.1052275,2.420318715,,0.1052275,-0.734447219
0.10525875,-0.061316608,,0.10525875,-1.870417318,,0.10525875,0.009984891,,0.10525875,9.52734E-06,,0.10525875,0.001353465,,0.10525875,0.001362992,,0.10525875,2.459015405,,0.10525875,-0.734203094
0.10529,-0.061607841,,0.10529,-1.744017521,,0.10529,0.009685832,,0.10529,9.35608E-06,,0.10529,0.001329075,,0.10529,0.001338431,,0.10529,2.585295041,,0.10529,-0.73396965
0.10532125,-0.062264254,,0.10532125,-1.5392796,,0.10532125,0.009014551,,0.10532125,9.08401E-06,,0.10532125,0.001289557,,0.10532125,0.001298641,,0.10532125,2.78992381,,0.10532125,-0.733757604
0.1053525,-0.063261059,,0.1053525,-1.270206329,,0.1053525,0.007996847,,0.1053525,8.73058E-06,,0.1053525,0.001237616,,0.1053525,0.001246346,,0.1053525,3.058903681,,0.1053525,-0.733576169
0.10538375,-0.064560396,,0.10538375,-0.953939464,,0.10538375,0.006671828,,0.10538375,8.31836E-06,,0.10538375,0.001176562,,0.10538375,0.001184881,,0.10538375,3.375096605,,0.10538375,-0.733432547
0.105415,-0.066112761,,0.105415,-0.608912754,,0.105415,0.005090414,,0.105415,7.8717E-06,,0.105415,0.001109957,,0.105415,0.001117829,,0.105415,3.720071358,,0.105415,-0.733331643
0.10544625,-0.067858785,,0.10544625,-0.253168083,,0.10544625,0.003313379,,0.10544625,7.41344E-06,,0.10544625,0.001041285,,0.10544625,0.001048698,,0.10544625,4.07578737,,0.10544625,-0.733276003
0.1054775,-0.069731543,,0.1054775,0.097006228,,0.1054775,0.001409012,,0.1054775,6.96432E-06,,0.1054775,0.000973686,,0.1054775,0.00098065,,0.1054775,4.425956489,,0.1054775,-0.73326596
0.10550875,-0.071659041,,0.10550875,0.428050429,,0.10550875,-0.000549502,,0.10550875,6.54097E-06,,0.10550875,0.000909793,,0.10550875,0.000916334,,0.10550875,4.757018146,,0.10550875,-0.733299914
0.10554,-0.073567078,,0.10554,0.729299129,,0.10554,-0.002486899,,0.10554,6.15671E-06,,0.10554,0.00085165,,0.10554,0.000857807,,0.10554,5.058305321,,0.10554,-0.733374706
0.10557125,-0.075382052,,0.10557125,0.9931269,,0.10557125,-0.004328726,,0.10557125,5.8206E-06,,0.10557125,0.000800732,,0.10557125,0.000806553,,0.10557125,5.322190354,,0.10557125,-0.733485992
0.1056025,-0.077033905,,0.1056025,1.21447017,,0.1056025,-0.006004202,,0.1056025,5.5392E-06,,0.1056025,0.000758016,,0.1056025,0.000763555,,0.1056025,5.543607015,,0.1056025,-0.733628611
0.10563375,-0.078458796,,0.10563375,1.39027071,,0.10563375,-0.007448941,,0.10563375,5.31602E-06,,0.10563375,0.00072409,,0.10563375,0.000729406,,0.10563375,5.719494148,,0.10563375,-0.733796878
0.105665,-0.07960166,,0.105665,1.518889567,,0.105665,-0.00860742,,0.105665,5.15356E-06,,0.105665,0.000699269,,0.105665,0.000704423,,0.105665,5.848209719,,0.105665,-0.733984802
0.10569625,-0.080418301,,0.10569625,1.599531785,,0.10569625,-0.009435122,,0.10569625,5.0526E-06,,0.10569625,0.000683706,,0.10569625,0.000688759,,0.10569625,5.928955608,,0.10569625,-0.734186238
0.1057275,-0.080877177,,0.1057275,1.631826171,,0.1057275,-0.009900237,,0.1057275,5.01408E-06,,0.1057275,0.000677471,,0.1057275,0.000682485,,0.1057275,5.96135742,,0.1057275,-0.734394963
0.10575875,-0.080960573,,0.10575875,1.6155209,,0.10575875,-0.009984891,,0.10575875,5.03806E-06,,0.10575875,0.000680612,,0.10575875,0.00068565,,0.10575875,5.945160106,,0.10575875,-0.734604716
0.10579,-0.080665349,,0.10579,1.550391021,,0.10579,-0.009685832,,0.10579,5.12513E-06,,0.10579,0.000693172,,0.10579,0.000698297,,0.10579,5.880135476,,0.10579,-0.734809205
0.10582125,-0.080002994,,0.10582125,1.436293966,,0.10582125,-0.009014551,,0.10582125,5.27505E-06,,0.10582125,0.000715179,,0.10582125,0.000720454,,0.10582125,5.766137712,,0.10582125,-0.735002111
0.1058525,-0.078999236,,0.1058525,1.273451479,,0.1058525,-0.007996847,,0.1058525,5.48773E-06,,0.1058525,0.000746591,,0.1058525,0.000752079,,0.1058525,5.603385311,,0.1058525,-0.735177126
0.10588375,-0.077692964,,0.10588375,1.062876802,,0.10588375,-0.006671828,,0.10588375,5.76136E-06,,0.10588375,0.000787213,,0.10588375,0.000792974,,0.10588375,5.392888304,,0.10588375,-0.735328017
0.105915,-0.076134755,,0.105915,0.806994053,,0.105915,-0.005090414,,0.105915,6.09302E-06,,0.105915,0.000836579,,0.105915,0.000842672,,0.105915,5.137067718,,0.105915,-0.735448775
0.10594625,-0.074384826,,0.10594625,0.510309462,,0.10594625,-0.003313379,,0.10594625,6.47657E-06,,0.10594625,0.000893823,,0.10594625,0.000900299,,0.10594625,4.84042692,,0.10594625,-0.735533841
0.1059775,-0.072510721,,0.1059775,0.18010103,,0.1059775,-0.001409012,,0.1059775,6.90304E-06,,0.1059775,0.000957542,,0.1059775,0.000964445,,0.1059775,4.510241441,,0.1059775,-0.735578413
0.10600875,-0.070584607,,0.10600875,-0.173111639,,0.10600875,0.000549502,,0.10600875,7.35873E-06,,0.10600875,0.001025708,,0.10600875,0.001033067,,0.10600875,4.157029004,,0.10600875,-0.735578842
0.10604,-0.068680522,,0.10604,-0.535417173,,0.10604,0.002486899,,0.10604,7.82621E-06,,0.10604,0.001095639,,0.10604,0.001103466,,0.10604,3.794699916,,0.10604,-0.735533055
0.10607125,-0.066871448,,0.10607125,-0.889928639,,0.10607125,0.004328726,,0.10607125,8.28344E-06,,0.10607125,0.001164077,,0.10607125,0.00117236,,0.10607125,3.440141065,,0.10607125,-0.735440969
0.1061025,-0.065226583,,0.1061025,-1.217757484,,0.1061025,0.006004202,,0.1061025,8.70619E-06,,0.1061025,0.001227373,,0.1061025,0.001236079,,0.1061025,3.11224215,,0.1061025,-0.735304811
0.10613375,-0.063808674,,0.10613375,-1.499586552,,0.10613375,0.007448941,,0.10613375,9.06876E-06,,0.10613375,0.001281796,,0.10613375,0.001290865,,0.10613375,2.830322745,,0.10613375,-0.735129278
0.106165,-0.06267174,,0.106165,-1.717551462,,0.106165,0.00860742,,0.106165,9.3478E-06,,0.106165,0.001323895,,0.106165,0.001333243,,0.106165,2.612250882,,0.106165,-0.734921467
0.10619625,-0.061859032,,0.10619625,-1.857222011,,0.10619625,0.009435122,,0.10619625,9.52388E-06,,0.10619625,0.001350881,,0.10619625,0.001360405,,0.10619625,2.472461491,,0.10619625,-0.734690561
0.1062275,-0.061401514,,0.1062275,-1.909239631,,0.1062275,0.009900237,,0.1062275,9.58507E-06,,0.1062275,0.001360943,,0.1062275,0.001370528,,0.1062275,2.420318656,,0.1062275,-0.734447281
0.10625875,-0.06131667,,0.10625875,-1.870417287,,0.10625875,0.009984891,,0.10625875,9.52734E-06,,0.10625875,0.001353465,,0.10625875,0.001362992,,0.10625875,2.459015347,,0.10625875,-0.734203156
0.10629,-0.061607903,,0.10629,-1.74401749,,0.10629,0.009685832,,0.10629,9.35608E-06,,0.10629,0.001329075,,0.10629,0.001338431,,0.10629,2.585294983,,0.10629,-0.733969712
0.10632125,-0.062264316,,0.10632125,-1.539279569,,0.10632125,0.009014551,,0.10632125,9.08401E-06,,0.10632125,0.001289557,,0.10632125,0.001298641,,0.10632125,2.789923752,,0.10632125,-0.733757666
0.1063525,-0.063261121,,0.1063525,-1.270206297,,0.1063525,0.007996847,,0.1063525,8.73058E-06,,0.1063525,0.001237616,,0.1063525,0.001246346,,0.1063525,3.058903623,,0.1063525,-0.73357623
0.10638375,-0.064560458,,0.10638375,-0.953939431,,0.10638375,0.006671828,,0.10638375,8.31836E-06,,0.10638375,0.001176562,,0.10638375,0.001184881,,0.10638375,3.375096548,,0.10638375,-0.733432609
0.106415,-0.066112822,,0.106415,-0.608912721,,0.106415,0.005090414,,0.106415,7.8717E-06,,0.106415,0.001109957,,0.106415,0.001117829,,0.106415,3.720071302,,0.106415,-0.733331705
0.10644625,-0.067858847,,0.10644625,-0.253168049,,0.10644625,0.003313379,,0.10644625,7.41344E-06,,0.10644625,0.001041285,,0.10644625,0.001048698,,0.10644625,4.075787314,,0.10644625,-0.733276065
0.1064775,-0.069731605,,0.1064775,0.097006262,,0.1064775,0.001409012,,0.1064775,6.96432E-06,,0.1064775,0.000973686,,0.1064775,0.00098065,,0.1064775,4.425956434,,0.1064775,-0.733266021
0.10650875,-0.071659103,,0.10650875,0.428050464,,0.10650875,-0.000549502,,0.10650875,6.54097E-06,,0.10650875,0.000909793,,0.10650875,0.000916334,,0.10650875,4.757018091,,0.10650875,-0.733299976
0.10654,-0.073567139,,0.10654,0.729299164,,0.10654,-0.002486899,,0.10654,6.15671E-06,,0.10654,0.00085165,,0.10654,0.000857807,,0.10654,5.058305267,,0.10654,-0.733374767
0.10657125,-0.075382114,,0.10657125,0.993126936,,0.10657125,-0.004328726,,0.10657125,5.8206E-06,,0.10657125,0.000800732,,0.10657125,0.000806553,,0.10657125,5.3221903,,0.10657125,-0.733486054
0.1066025,-0.077033967,,0.1066025,1.214470206,,0.1066025,-0.006004202,,0.1066025,5.5392E-06,,0.1066025,0.000758016,,0.1066025,0.000763555,,0.1066025,5.543606961,,0.1066025,-0.733628673
0.10663375,-0.078458858,,0.10663375,1.390270746,,0.10663375,-0.007448941,,0.10663375,5.31602E-06,,0.10663375,0.00072409,,0.10663375,0.000729406,,0.10663375,5.719494095,,0.10663375,-0.73379694
0.106665,-0.079601722,,0.106665,1.518889604,,0.106665,-0.00860742,,0.106665,5.15356E-06,,0.106665,0.000699269,,0.106665,0.000704423,,0.106665,5.848209666,,0.106665,-0.733984864
0.10669625,-0.080418363,,0.10669625,1.599531821,,0.10669625,-0.009435122,,0.10669625,5.0526E-06,,0.10669625,0.000683706,,0.10669625,0.000688759,,0.10669625,5.928955555,,0.10669625,-0.7341863
0.1067275,-0.080877239,,0.1067275,1.631826208,,0.1067275,-0.009900237,,0.1067275,5.01408E-06,,0.1067275,0.000677471,,0.1067275,0.000682485,,0.1067275,5.961357367,,0.1067275,-0.734395025
0.10675875,-0.080960635,,0.10675875,1.615520937,,0.10675875,-0.009984891,,0.10675875,5.03806E-06,,0.10675875,0.000680612,,0.10675875,0.00068565,,0.10675875,5.945160053,,0.10675875,-0.734604778
0.10679,-0.08066541,,0.10679,1.550391058,,0.10679,-0.009685832,,0.10679,5.12513E-06,,0.10679,0.000693172,,0.10679,0.000698297,,0.10679,5.880135424,,0.10679,-0.734809266
0.10682125,-0.080003055,,0.10682125,1.436294001,,0.10682125,-0.009014551,,0.10682125,5.27505E-06,,0.10682125,0.000715179,,0.10682125,0.000720454,,0.10682125,5.766137659,,0.10682125,-0.735002173
0.1068525,-0.078999298,,0.1068525,1.273451515,,0.1068525,-0.007996847,,0.1068525,5.48773E-06,,0.1068525,0.000746591,,0.1068525,0.000752079,,0.1068525,5.603385257,,0.1068525,-0.735177187
0.10688375,-0.077693026,,0.10688375,1.062876837,,0.10688375,-0.006671828,,0.10688375,5.76136E-06,,0.10688375,0.000787213,,0.10688375,0.000792974,,0.10688375,5.39288825,,0.10688375,-0.735328078
0.106915,-0.076134817,,0.106915,0.806994088,,0.106915,-0.005090414,,0.106915,6.09302E-06,,0.106915,0.000836579,,0.106915,0.000842672,,0.106915,5.137067664,,0.106915,-0.735448837
0.10694625,-0.074384888,,0.10694625,0.510309496,,0.10694625,-0.003313379,,0.10694625,6.47657E-06,,0.10694625,0.000893823,,0.10694625,0.000900299,,0.10694625,4.840426865,,0.10694625,-0.735533903
0.1069775,-0.072510783,,0.1069775,0.180101063,,0.1069775,-0.001409012,,0.1069775,6.90304E-06,,0.1069775,0.000957542,,0.1069775,0.000964445,,0.1069775,4.510241385,,0.1069775,-0.735578475
0.107,-0.071124946,,0.107,-0.072651546,,0.107,1.94061E-15,,0.107,7.22906E-06,,0.107,0.001006319,,0.107,0.001013548,,0.107,4.257491348,,0.107,-0.735583455
